binf_chr_start_end	fus_total_overlaps	fus_variance	fus_pearson_median_skew	fus_kurtosis_excess	fus_max_binding_offset	hnrnpc_total_overlaps	hnrnpc_variance	hnrnpc_pearson_median_skew	hnrnpc_kurtosis_excess	hnrnpc_max_binding_offset	hnrnpm_total_overlaps	hnrnpm_variance	hnrnpm_pearson_median_skew	hnrnpm_kurtosis_excess	hnrnpm_max_binding_offset	khsrp_total_overlaps	khsrp_variance	khsrp_pearson_median_skew	khsrp_kurtosis_excess	khsrp_max_binding_offset	khsrpctrl_total_overlaps	khsrpctrl_variance	khsrpctrl_pearson_median_skew	khsrpctrl_kurtosis_excess	khsrpctrl_max_binding_offset	prpf8_total_overlaps	prpf8_variance	prpf8_pearson_median_skew	prpf8_kurtosis_excess	prpf8_max_binding_offset	prpf8ctrl_total_overlaps	prpf8ctrl_variance	prpf8ctrl_pearson_median_skew	prpf8ctrl_kurtosis_excess	prpf8ctrl_max_binding_offset	ptbp1_total_overlaps	ptbp1_variance	ptbp1_pearson_median_skew	ptbp1_kurtosis_excess	ptbp1_max_binding_offset	sfb31_total_overlaps	sfb31_variance	sfb31_pearson_median_skew	sfb31_kurtosis_excess	sfb31_max_binding_offset	u2af2_total_overlaps	u2af2_variance	u2af2_pearson_median_skew	u2af2_kurtosis_excess	u2af2_max_binding_offset	u2af2ctrl_total_overlaps	u2af2ctrl_variance	u2af2ctrl_pearson_median_skew	u2af2ctrl_kurtosis_excess	u2af2ctrl_max_binding_offset
chr1_1339812_1339813	13	0.112146	1.15306	2.91696	31	4	0.0380355	0.609208	20.2912	46	3	0.0288207	0.524891	28.6973	-17	3	0.0288207	0.524891	28.6973	32	9	0.0811685	0.938315	6.32005	16	111	1.23772	0.266986	0.136244	-18	6	0.0558769	0.753937	11.8965	-46	11	0.0970493	1.04881	4.30404	33	0	0	0	0	0	19	0.311146	1.01175	21.2971	-17	4	0.0380355	0.609208	20.2912	38
chr1_1420728_1420729	3	0.0288207	0.524891	28.6973	-26	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-31	0	0	0	0	0	0	0	0	0	0	60	0.478777	2.57564	-0.647496	-31	2	0.0194099	0.426401	45.5202	24	5	0.0470542	0.684653	15.2521	-38	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-15	1	0.00980296	0.3	96.01	-3
chr1_2137334_2137335	4	0.0380355	0.609208	20.2912	39	0	0	0	0	0	1	0.00980296	0.3	96.01	-9	1	0.00980296	0.3	96.01	41	1	0.00980296	0.3	96.0099	-29	2	0.0194099	0.426401	45.5202	-6	3	0.0288207	0.524891	28.6973	-29	2	0.0194099	0.426401	45.5202	-28	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	2
chr1_2171959_2171960	1	0.00980296	0.3	96.0099	-23	2	0.0194099	0.426401	45.5202	-20	4	0.0380355	0.609208	20.2912	-48	0	0	0	0	0	0	0	0	0	0	13	0.131948	1.06302	7.59221	-34	2	0.0194099	0.426401	45.5202	-22	8	0.072934	0.879883	7.71103	3	0	0	0	0	0	4	0.0578375	0.494032	45.7523	18	0	0	0	0	0
chr1_2185527_2185528	9	0.0811685	0.938315	6.32005	-5	1	0.00980296	0.3	96.01	16	1	0.00980296	0.3	96.0099	-14	2	0.0194099	0.426401	45.5202	-15	1	0.00980296	0.3	96.01	-7	9	0.120772	0.769234	17.4422	-7	0	0	0	0	0	7	0.0645035	0.818665	9.50303	17	1	0.00980296	0.3	96.01	0	2	0.0194099	0.426401	45.5202	14	2	0.0194099	0.426401	45.5202	39
chr1_2231989_2231990	118	1.13009	0.475	-0.484643	-38	24	0.200961	1.59021	1.24811	-37	87	0.951083	-0.426401	0.81643	29	53	0.566219	2.09211	1.69183	-38	8	0.072934	0.879883	7.71103	-48	8	0.072934	0.879883	7.71103	35	6	0.0558769	0.753937	11.8965	-9	56	0.60347	2.14121	1.78797	-40	0	0	0	0	0	14	0.159004	1.04285	8.57128	-6	5	0.0470542	0.684653	15.2521	-44
chr1_2389781_2389782	9	0.0811685	0.938315	6.32005	-45	4	0.0380355	0.609208	20.2912	-45	4	0.0380355	0.609208	20.2912	-24	2	0.0194099	0.426401	45.5202	-46	2	0.0194099	0.426401	45.5202	-16	6	0.0558769	0.753937	11.8965	25	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-41	0	0	0	0	0	1	0.00980296	0.3	96.01	24	1	0.00980296	0.3	96.0099	-29
chr1_2644664_2644665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_2786441_2786442	0	0	0	0	0	1	0.00980296	0.3	96.0099	-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_2788831_2788832	0	0	0	0	0	1	0.00980296	0.3	96.0099	-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3432621_3432622	3	0.0486227	0.404112	63.8267	-11	1	0.00980296	0.3	96.01	-8	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	24	2	0.0194099	0.426401	45.5202	-36	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3466913_3466914	14	0.139202	1.11456	6.52613	-1	3	0.0288207	0.524891	28.6973	32	4	0.0380355	0.609208	20.2912	-35	2	0.0194099	0.426401	45.5202	-6	1	0.00980296	0.3	96.01	30	27	0.255269	1.58732	2.08761	-17	3	0.0288207	0.524891	28.6973	-27	5	0.0470542	0.684653	15.2521	9	0	0	0	0	0	5	0.0470542	0.684653	15.2521	30	2	0.0194099	0.426401	45.5202	-46
chr1_3637962_3637963	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-6	1	0.00980296	0.3	96.0099	-19	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	7	0	0	0	0	0	1	0.00980296	0.3	96.01	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3753202_3753203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3771353_3771354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3781719_3781720	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-6	0	0	0	0	0	7	0.0645035	0.818665	9.50303	-6	0	0	0	0	0	5	0.0470542	0.684653	15.2521	40	0	0	0	0	0	1	0.00980296	0.3	96.01	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3782171_3782172	0	0	0	0	0	0	0	0	0	0	3	0.0288207	0.524891	28.6973	23	2	0.0194099	0.426401	45.5202	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3782185_3782186	0	0	0	0	0	1	0.00980296	0.3	96.0099	-42	3	0.0288207	0.524891	28.6973	37	2	0.0194099	0.426401	45.5202	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_3824766_3824767	14	0.1194	1.20344	2.37521	-31	6	0.0756789	0.647834	26.9316	5	7	0.0645035	0.818665	9.50304	31	1	0.00980296	0.3	96.0099	-43	1	0.00980296	0.3	96.0099	-13	16	0.172924	1.14286	6.62792	-37	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-18	0	0	0	0	0	5	0.0470542	0.684653	15.2521	-48	1	0.00980296	0.3	96.01	0
chr1_3836437_3836438	13	0.131948	1.06302	7.5922	-28	1	0.00980296	0.3	96.0099	-19	0	0	0	0	0	15	0.225468	0.938315	15.2813	-40	5	0.0470542	0.684653	15.2521	-31	11	0.116851	0.955819	10.3978	-24	0	0	0	0	0	1	0.00980296	0.3	96.01	4	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-41	0	0	0	0	0
chr1_3865274_3865275	1	0.00980296	0.3	96.01	-8	6	0.0558769	0.753937	11.8965	-12	85	0.846191	-0.516637	-0.0999334	-6	5	0.0470542	0.684653	15.2521	-26	1	0.00980296	0.3	96.0099	-13	6	0.0558769	0.753937	11.8965	-28	1	0.00980296	0.3	96.0099	-21	14	0.139202	1.11456	6.52613	45	0	0	0	0	0	1	0.00980296	0.3	96.01	-8	1	0.00980296	0.3	96.0099	-17
chr1_3869603_3869604	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	20	1	0.00980296	0.3	96.01	44	0	0	0	0	0	7	0.0645035	0.818665	9.50304	-48	0	0	0	0	0	1	0.00980296	0.3	96.01	31	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-14	2	0.0194099	0.426401	45.5202	-31
chr1_5906728_5906729	4	0.0380355	0.609208	20.2912	-46	2	0.0194099	0.426401	45.5202	-46	2	0.0392119	0.3	96.0099	-42	3	0.0288207	0.524891	28.6973	-43	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-46	1	0.00980296	0.3	96.0099	-45	2	0.0194099	0.426401	45.5202	-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_6096817_6096818	7	0.0843055	0.716094	21.5852	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	8	6	0.0756789	0.647834	26.9316	-19	1	0.00980296	0.3	96.0099	-13	3	0.0288207	0.524891	28.6973	-33	0	0	0	0	0	1	0.00980296	0.3	96.01	-1	0	0	0	0	0
chr1_6133817_6133818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_6244806_6244807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_6334193_6334194	5	0.0470542	0.684653	15.2521	-48	5	0.0470542	0.684653	15.2521	-48	5	0.0470542	0.684653	15.2521	-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	16	2	0.0194099	0.426401	45.5202	-41	0	0	0	0	0	3	0.0288207	0.524891	28.6973	5	0	0	0	0	0
chr1_6444096_6444097	18	0.166258	1.31124	3.58954	-46	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-42	0	0	0	0	0	1	0.00980296	0.3	96.01	43	0	0	0	0	0	1	0.00980296	0.3	96.0099	-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_6445465_6445466	7	0.0645035	0.818665	9.50303	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0.0843055	0.716094	21.5852	-7	1	0.00980296	0.3	96.01	36	4	0.0380355	0.609208	20.2912	-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_6446379_6446380	34	0.421331	1.55585	4.59042	22	2	0.0194099	0.426401	45.5202	-20	1	0.00980296	0.3	96.01	39	4	0.0380355	0.609208	20.2912	-14	0	0	0	0	0	12	0.183904	0.831163	12.3766	32	1	0.00980296	0.3	96.0099	-21	10	0.0892069	0.99449	5.20989	-47	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-27	0	0	0	0	0
chr1_6475347_6475348	0	0	0	0	0	1	0.00980296	0.3	96.0099	-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0.347417	1.5118	2.19983	-32	2	0.0194099	0.426401	45.5202	-47	1	0.00980296	0.3	96.0099	-23	0	0	0	0	0	1	0.00980296	0.3	96.0099	-32	0	0	0	0	0
chr1_6528500_6528501	10	0.109009	0.89964	12.2811	-13	2	0.0194099	0.426401	45.5202	-7	5	0.0470542	0.684653	15.2521	-5	2	0.0194099	0.426401	45.5202	-14	6	0.0558769	0.753937	11.8965	10	2	0.0194099	0.426401	45.5202	-48	0	0	0	0	0	15	0.126458	1.2529	1.90775	-27	0	0	0	0	0	5	0.0668562	0.57438	34.486	1	1	0.00980296	0.3	96.01	38
chr1_6543663_6543664	6	0.0558769	0.753937	11.8965	-24	12	0.104696	1.10158	3.5515	34	3	0.0288207	0.524891	28.6973	-16	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-12	7	0.0645035	0.818665	9.50304	-6	4	0.0380355	0.609208	20.2912	20	2	0.0194099	0.426401	45.5202	5	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	42
chr1_6549721_6549722	7	0.0843055	0.716094	21.5852	14	2	0.0194099	0.426401	45.5202	14	3	0.0288207	0.524891	28.6973	-10	14	0.159004	1.04285	8.57129	24	4	0.0380355	0.609208	20.2912	-23	16	0.212528	1.03089	15.0348	-2	0	0	0	0	0	4	0.0380355	0.609208	20.2912	37	1	0.00980296	0.3	96.01	14	32	0.493677	1.35278	5.09503	15	3	0.0288207	0.524891	28.6973	26
chr1_6552344_6552345	2	0.0194099	0.426401	45.5202	36	0	0	0	0	0	1	0.00980296	0.3	96.01	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	14	0	0	0	0	0	1	0.00980296	0.3	96.01	15	0	0	0	0	0
chr1_6572684_6572685	0	0	0	0	0	1	0.00980296	0.3	96.01	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-24
chr1_6642030_6642031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	-3	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-32	0	0	0	0	0	16	0.153122	1.21451	4.84553	-10	0	0	0	0	0	2	0.0194099	0.426401	45.5202	6	1	0.00980296	0.3	96.0099	-14
chr1_6822952_6822953	1	0.00980296	0.3	96.0099	-28	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-12	0	0	0	0	0	1	0.00980296	0.3	96.01	-6	0	0	0	0	0
chr1_7794782_7794783	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-21	1	0.00980296	0.3	96.01	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_7799732_7799733	0	0	0	0	0	2	0.0194099	0.426401	45.5202	26	4	0.0380355	0.609208	20.2912	15	2	0.0194099	0.426401	45.5202	-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	45	1	0.00980296	0.3	96.01	47
chr1_7802173_7802174	0	0	0	0	0	1	0.00980296	0.3	96.0099	-46	0	0	0	0	0	3	0.0288207	0.524891	28.6973	19	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-44	1	0.00980296	0.3	96.01	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_7804678_7804679	1	0.00980296	0.3	96.01	43	8	0.092736	0.780307	17.6412	45	1	0.00980296	0.3	96.0099	-13	1	0.00980296	0.3	96.01	45	0	0	0	0	0	1	0.00980296	0.3	96.0099	-48	1	0.00980296	0.3	96.01	9	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	45	0	0	0	0	0
chr1_7836319_7836320	1	0.00980296	0.3	96.01	31	0	0	0	0	0	1	0.00980296	0.3	96.0099	-22	2	0.0392119	0.3	96.01	35	0	0	0	0	0	3	0.0288207	0.524891	28.6973	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_7970275_7970276	2	0.0194099	0.426401	45.5202	9	5	0.0470542	0.684653	15.2521	47	1	0.00980296	0.3	96.01	15	5	0.0470542	0.684653	15.2521	46	0	0	0	0	0	12	0.104696	1.10158	3.5515	18	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-3	0	0	0	0	0	2	0.0194099	0.426401	45.5202	18	0	0	0	0	0
chr1_8329519_8329520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_8974535_8974536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	33	0	0	0	0	0
chr1_9019998_9019999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_9105481_9105482	7	0.104107	0.644402	24.4444	-3	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-43	2	0.0194099	0.426401	45.5202	12	1	0.00980296	0.3	96.01	-6	13	0.112146	1.15306	2.91696	-2	0	0	0	0	0	6	0.0558769	0.753937	11.8965	-7	0	0	0	0	0	1	0.00980296	0.3	96.0099	-19	0	0	0	0	0
chr1_9246474_9246475	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-46	3	0.0288207	0.524891	28.6973	-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	43	0	0	0	0	0	1	0.00980296	0.3	96.01	-1	1	0.00980296	0.3	96.01	3
chr1_9262906_9262907	6	0.0558769	0.753937	11.8965	-4	0	0	0	0	0	2	0.0194099	0.426401	45.5202	-47	0	0	0	0	0	1	0.00980296	0.3	96.01	-7	1	0.00980296	0.3	96.01	13	0	0	0	0	0	6	0.0756789	0.647834	26.9316	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_9329777_9329778	9	0.0811685	0.938315	6.32005	-14	1	0.00980296	0.3	96.01	11	2	0.0194099	0.426401	45.5202	-33	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	32	2	0.0194099	0.426401	45.5202	20	2	0.0194099	0.426401	45.5202	-16	0	0	0	0	0	1	0.00980296	0.3	96.01	11	0	0	0	0	0
chr1_9569801_9569802	18	0.18606	1.2395	5.15132	-31	9	0.0811685	0.938315	6.32005	-47	1	0.00980296	0.3	96.0099	-19	10	0.0892069	0.99449	5.20989	5	3	0.0486227	0.404112	63.8268	-34	7	0.0645035	0.818665	9.50304	9	1	0.00980296	0.3	96.0099	-44	6	0.0756789	0.647834	26.9316	-32	3	0.0288207	0.524891	28.6973	2	6	0.0558769	0.753937	11.8965	-44	1	0.00980296	0.3	96.01	4
chr1_9723007_9723008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.01	48	1	0.00980296	0.3	96.01	43	6	0.0756789	0.647834	26.9316	-44	0	0	0	0	0	2	0.0392119	0.3	96.01	24	0	0	0	0	0	3	0.0288207	0.524891	28.6973	12	0	0	0	0	0
chr1_9736272_9736273	16	0.192726	1.08255	16.1325	-44	4	0.0380355	0.609208	20.2912	-48	6	0.0558769	0.753937	11.8965	-13	28	0.299382	1.52	2.4588	27	3	0.0288207	0.524891	28.6973	-32	8	0.072934	0.879883	7.71103	-46	1	0.00980296	0.3	96.0099	-36	9	0.0811685	0.938315	6.32005	-2	0	0	0	0	0	15	0.14626	1.16501	5.62129	-47	1	0.00980296	0.3	96.0099	-44
chr1_9740657_9740658	37	0.410352	1.71563	1.0267	24	13	0.112146	1.15306	2.91696	-1	11	0.0970493	1.04881	4.30404	-25	20	0.17861	1.40565	2.62251	-8	1	0.00980296	0.3	96.0099	-20	7	0.0645035	0.818665	9.50304	3	5	0.0470542	0.684653	15.2521	37	16	0.153122	1.21451	4.84553	-11	2	0.0194099	0.426401	45.5202	6	17	0.139986	1.3496	1.14356	0	1	0.00980296	0.3	96.0099	-19
chr1_10096047_10096048	3	0.0288207	0.524891	28.6973	-39	2	0.0194099	0.426401	45.5202	-29	3	0.0288207	0.524891	28.6973	-39	9	0.0811685	0.938315	6.32005	-36	1	0.00980296	0.3	96.0099	-36	1	0.00980296	0.3	96.01	-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.00980296	0.3	96.0099	-38
chr1_10130956_10130957	8	0.072934	0.879883	7.71103	-4	1	0.00980296	0.3	96.01	44	0	0	0	0	0	5	0.0470542	0.684653	15.2521	3	2	0.0194099	0.426401	45.5202	-18	4	0.0380355	0.609208	20.2912	-2	0	0	0	0	0	1	0.00980296	0.3	96.01	47	0	0	0	0	0	1	0.00980296	0.3	96.01	10	0	0	0	0	0
chr1_10144885_10144886	5	0.0470542	0.684653	15.2521	-33	1	0.00980296	0.3	96.01	3	1	0.00980296	0.3	96.01	17	22	0.209979	1.42605	3.08452	-45	3	0.0288207	0.524891	28.6973	-48	4	0.0974414	0.380617	77.9796	31	0	0	0	0	0	3	0.0288207	0.524891	28.6973	-12	0	0	0	0	0	14	0.198608	0.933103	18.0917	42	0	0	0	0	0
